id,Name,Gift image filename (with extension),Gift image filename (with extension),Quota,Redeemed quota,Quota Left (Remain),Prioritize,Pool,Number Of Play To Win,Start date,End Date
1,iPhone 15 (128 GB),Prize_Photo/iphone15.png,Prize_Title/iphone15_t.png,1,,,1,,30,2023-11-25 14:00:00,2023-12-01 23:59:59
2,Therabody Theragun Pro 按摩槍,Prize_Photo/therabody.png,Prize_Title/therabody_t.png,1,,,1,,20,2023-11-09 15:00:00,2023-12-01 23:59:59
3,Dyson V8 Focus Mattress™ 無線手提式吸塵機,Prize_Photo/dysonv8.png,Prize_Title/dysonv8_t.png,1,,,1,,30,2023-12-01 12:00:00,2023-12-01 23:59:59
4,GERMAN POOL 德國寶 移動浴室寶 (HTW-320),Prize_Photo/germanpool.png,Prize_Title/germanpool_t.png,1,,,1,,10,2023-11-17 17:00:00,2023-12-01 23:59:59
5,L'Occitane聖誕倒數驚喜日曆2023,Prize_Photo/loccitane.png,Prize_Title/loccitane_t.png,1,,,1,,25,2023-11-02 14:00:00,2023-12-01 23:59:59
6,Schoggi Meier 雜錦軟心朱古力雪人禮盒 (12顆),Prize_Photo/snowman_truffle.png,Prize_Title/snowman_truffle_t.png,1,,,1,,10,2023-11-06 18:00:00,2023-12-01 23:59:59
7,Schoggi Meier 雜錦軟心朱古力雪人禮盒 (12顆),Prize_Photo/snowman_truffle.png,Prize_Title/snowman_truffle_t.png,1,,,1,,25,2023-11-08 12:00:00,2023-12-01 23:59:59
8,Schoggi Meier 雜錦軟心朱古力雪人禮盒 (12顆),Prize_Photo/snowman_truffle.png,Prize_Title/snowman_truffle_t.png,1,,,1,,8,2023-11-15 19:00:00,2023-12-01 23:59:59
9,Schoggi Meier 雜錦軟心朱古力雪人禮盒 (12顆),Prize_Photo/snowman_truffle.png,Prize_Title/snowman_truffle_t.png,1,,,1,,20,2023-11-19 12:00:00,2023-12-01 23:59:59
10,Schoggi Meier 雜錦軟心朱古力雪人禮盒 (12顆),Prize_Photo/snowman_truffle.png,Prize_Title/snowman_truffle_t.png,1,,,1,,20,2023-11-24 12:00:00,2023-12-01 23:59:59
11,Schoggi Meier 黑朱古力棉花糖聖誕鐵罐裝 (15顆),Prize_Photo/xmas_marshmallow.png,Prize_Title/xmas_marshmallow_t.png,1,,,1,,20,2023-11-01 12:00:00,2023-12-01 23:59:59
12,Schoggi Meier 黑朱古力棉花糖聖誕鐵罐裝 (15顆),Prize_Photo/xmas_marshmallow.png,Prize_Title/xmas_marshmallow_t.png,1,,,1,,15,2023-11-05 14:00:00,2023-12-01 23:59:59
13,Schoggi Meier 黑朱古力棉花糖聖誕鐵罐裝 (15顆),Prize_Photo/xmas_marshmallow.png,Prize_Title/xmas_marshmallow_t.png,1,,,1,,25,2023-11-13 12:00:00,2023-12-01 23:59:59
14,Schoggi Meier 黑朱古力棉花糖聖誕鐵罐裝 (15顆),Prize_Photo/xmas_marshmallow.png,Prize_Title/xmas_marshmallow_t.png,1,,,1,,10,2023-11-23 16:00:00,2023-12-01 23:59:59
15,Peter Rabbit 鐵罐裝英式早餐茶,Prize_Photo/rabbit_tea.png,Prize_Title/rabbit_tea_t.png,1,,,1,,15,2023-11-03 16:00:00,2023-12-01 23:59:59
16,Peter Rabbit 鐵罐裝英式早餐茶,Prize_Photo/rabbit_tea.png,Prize_Title/rabbit_tea_t.png,1,,,1,,15,2023-11-21 14:00:00,2023-12-01 23:59:59
17,Peter Rabbit 鐵罐裝英式早餐茶,Prize_Photo/rabbit_tea.png,Prize_Title/rabbit_tea_t.png,1,,,1,,12,2023-11-28 18:00:00,2023-12-01 23:59:59
18,Peter Rabbit 鐵罐裝英式早餐茶,Prize_Photo/rabbit_tea.png,Prize_Title/rabbit_tea_t.png,1,,,1,,25,2023-11-30 12:00:00,2023-12-01 23:59:59
19,始創中心HK$200購物禮券,Prize_Photo/pc_200.png,Prize_Title/pc_200_t.png,1,,,1,,8,2023-11-11 18:00:00,2023-12-01 23:59:59
20,始創中心HK$200購物禮券,Prize_Photo/pc_200.png,Prize_Title/pc_200_t.png,1,,,1,,15,2023-11-16 14:00:00,2023-12-01 23:59:59
21,始創中心HK$200購物禮券,Prize_Photo/pc_200.png,Prize_Title/pc_200_t.png,1,,,1,,25,2023-11-27 12:00:00,2023-12-01 23:59:59
22,始創中心HK$200購物禮券,Prize_Photo/pc_200.png,Prize_Title/pc_200_t.png,1,,,1,,12,2023-11-31 18:00:00,2023-12-01 23:59:59
23,「始創中心 x 胡氏這一家 x 阿讚貓」聖誕限定兩用頸枕毯,Prize_Photo/familywu_blanket.png,Prize_Title/familywu_blanket_t.png,250,,,0,B,,2023-11-06 00:00:00,2023-12-01 23:59:59
24,神戶風月堂 聖誕限定法蘭酥餅禮盒 (6枚) (款式隨機),Prize_Photo/kobe_gaufres.png,Prize_Title/kobe_gaufres_t.png,85,,,0,A,,2023-11-01 00:00:00,2023-11-25 23:59:59
25,Bears & Friends 聖誕軟糖禮盒 (款式隨機),Prize_Photo/bearsnfrds_gummy.png,Prize_Title/bearsnfrds_gummy_t.png,85,,,0,A,,2023-11-01 00:00:00,2023-11-25 23:59:59
26,花王蒸氣肩頸熱敷貼(4片裝),Prize_Photo/warmpaste.png,Prize_Title/warmpaste_t.png,210,,,0,B,,2023-11-01 00:00:00,2023-12-01 23:59:59
27,Chocmod 法國可可粉優質原味軟心朱古力(鐵罐),Prize_Photo/chocmod.png,Prize_Title/chocmod_t.png,150,1,149,0,B,,2023-11-01 00:00:00,2023-12-01 23:59:59
28,CLIPPER香濃朱古力粉,Prize_Photo/clipper.png,Prize_Title/clipper_t.png,0,,,0,B,,2023-11-01 00:00:00,2023-12-01 23:59:59
29,始創中心HK$50購物禮券,Prize_Photo/pc_50.png,Prize_Title/pc_50_t.png,50,,,0,B,,2023-11-01 00:00:00,2023-12-01 23:59:59
30,美國冒險樂園HK$50代幣禮券,Prize_Photo/jumpingym_50.png,Prize_Title/jumpingym_50_t.png,75,,,0,B,,2023-11-01 00:00:00,2023-12-01 23:59:59
31,Soda Mall HK$100現金禮券,Prize_Photo/sodamall_100.png,Prize_Title/sodamall_100_t.png,50,,,0,B,,2023-11-01 00:00:00,2023-12-01 23:59:59
32,Starbucks HK$50現金禮券,Prize_Photo/starbucks_50.png,Prize_Title/starbucks_50_t.png,25,,,0,B,,2023-11-01 00:00:00,2023-12-01 23:59:59
33,始創中心LED高清化妝鏡,Prize_Photo/makeup_mirror.png,Prize_Title/makeup_mirror_t.png,150,,,0,B,,2023-11-01 00:00:00,2023-12-01 23:59:59
34,聖誕啪啪圈手環(款式隨機),Prize_Photo/slap_bracelet.png,Prize_Title/slap_bracelet_t.png,200,,,0,A,,2023-11-01 00:00:00,2023-11-25 23:59:59
35,聖誕髮圈(款式隨機),Prize_Photo/xmas_hairtie.png,Prize_Title/xmas_hairtie_t.png,130,,,0,A,,2023-11-01 00:00:00,2023-11-25 23:59:59
36,旅行用品 (款式隨機),Prize_Photo/travel_goods.png,Prize_Title/travel_goods_t.png,200,,,0,B,,2023-11-01 00:00:00,2023-12-01 23:59:59
37,零食或飲品 (款式隨機),Prize_Photo/snacks.png,Prize_Title/snacks_t.png,740,,,0,B,,2023-11-01 00:00:00,2023-12-01 23:59:59
38,個人護理用品 (款式隨機),Prize_Photo/personal_care.png,Prize_Title/personal_care_t.png,100,,,0,B,,2023-11-01 00:00:00,2023-12-01 23:59:59
39,神戶風月堂 聖誕限定法蘭酥餅禮盒 (6枚) (款式隨機),Prize_Photo/kobe_gaufres.png,Prize_Title/kobe_gaufres_t.png,0,,,0,B,,2023-11-01 00:00:00,2023-11-25 23:59:59
40,Bears & Friends 聖誕軟糖禮盒 (款式隨機),Prize_Photo/bearsnfrds_gummy.png,Prize_Title/bearsnfrds_gummy_t.png,0,,,0,B,,2023-11-01 00:00:00,2023-11-25 23:59:59
41,聖誕啪啪圈手環(款式隨機),Prize_Photo/slap_bracelet.png,Prize_Title/slap_bracelet_t.png,0,,,0,B,,2023-11-01 00:00:00,2023-11-25 23:59:59
42,聖誕髮圈(款式隨機),Prize_Photo/xmas_hairtie.png,Prize_Title/xmas_hairtie_t.png,0,,,0,B,,2023-11-01 00:00:00,2023-11-25 23:59:59
